Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,2ndFlrSF_cat,3SsnPorch_cat,BsmtFinSF1_cat,BsmtFinSF2_cat,BsmtUnfSF_cat,EnclosedPorch_cat,GarageArea_cat,LowQualFinSF_cat,MasVnrArea_cat,MiscVal_cat,OpenPorchSF_cat,PoolArea_cat,ScreenPorch_cat,TotalBsmtSF_cat,WoodDeckSF_cat,House_Age,House_Age_Squared,House_Decade_Built,Garage_Age,Garage_Age_Squared,Garage_Decade_Built,Remodel_Age,Remodel_Age_Squared,Remodel_Decade_Built
1,60,RL,-0.25081212321652857,-0.26613976836564757,Pave,No,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,-0.03294424555044321,Gd,TA,PConc,Gd,TA,No,GLQ,0.18371441963522012,Unf,,-1.182502101329246,-0.33307729868645924,GasA,Ex,Y,SBrkr,-0.5225124397655185,0.2510947745684725,,0.346312561616577,1,0,2,1,3,1,Gd,8,Typ,0,No,Attchd,RFn,2,0.29617355247193977,TA,TA,Y,,-0.030571442076787872,,,,,No,No,No,,2,2008,WD,Normal,12.24769911637256,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,-0.9306907192466021,-0.9448840807014584,2000,-0.8377835621967801,-0.8503253987089429,2000,-0.40130776628563275,-0.4089542603628536,2000
2,20,RL,0.5044610472104119,0.030466781073921402,Pave,No,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,Gable,CompShg,MetalSd,MetalSd,No,,TA,TA,CBlock,Gd,TA,Gd,ALQ,0.5675294106559857,Unf,,-0.5904586126643239,0.47775635614933837,GasA,Ex,Y,SBrkr,0.32982611226072467,,,-0.32363547988301467,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,-0.12126755487397486,TA,TA,Y,0.8025311612384805,,,,,,No,No,No,,5,2007,WD,Normal,12.109016442313738,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,-0.0508034658336962,-0.05007099173939455,1970,0.07778936553246721,0.07652335946686974,1970,0.401307766285633,0.394225155850088,1970
3,60,RL,-0.08687589461457491,0.39915971508042586,Pave,No,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,-0.21169771547557745,Gd,TA,PConc,Gd,TA,Mn,GLQ,-0.2558338384454098,Unf,,-0.19633713484699936,-0.1824922751898242,GasA,Ex,Y,SBrkr,-0.3642192804738611,0.2867174573575194,,0.4422191487881247,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2,0.5440088148489417,TA,TA,Y,,-0.3829367015449074,,,,,No,No,No,,9,2008,WD,Normal,12.317171167298682,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,-0.8033241281223237,-0.810611995344192,2000,-0.7052513516456788,-0.7112461685253362,2000,-0.3403077443866934,-0.3454212913212063,2000
4,70,RL,-0.541352683461139,0.018327959078060205,Pave,No,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Wd Sdng,Wd Shng,No,,TA,TA,BrkTil,TA,Gd,No,ALQ,-1.2090207922966243,Unf,,0.006916875374311669,-0.59249464124988,GasA,Gd,Y,SBrkr,-0.26849360505143427,-0.060054240208330924,,0.35532240948218025,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,3,0.6738201739766642,TA,TA,Y,,-0.5540293795573397,0.9369981117812448,,,,No,No,No,,2,2006,WD,Abnorml,11.849404844423074,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0.5783105709697077,0.5645096157940338,1910,-0.5459767728767978,-0.546939334815548,1990,0.4905555721310164,0.48069978967327254,1970
5,60,RL,0.6822283690374858,0.9503087902753189,Pave,No,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.5120172351251905,Gd,TA,PConc,Gd,TA,Av,GLQ,0.09543148590208801,Unf,,-0.08346829816618596,0.2745034433870525,GasA,Ex,Y,SBrkr,0.11616910342084608,0.7859043857402253,,0.9000447202605727,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3,1.303873678265067,TA,TA,Y,0.16719106544650728,0.27324591963241385,,,,,No,No,No,,12,2008,WD,Normal,12.429220196836383,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,-0.7480976165946908,-0.7530622915700261,2000,-0.6477850130307019,-0.6516360978475111,2000,-0.23474999452526502,-0.23677605408491934,2000
6,50,RL,0.725362871191378,0.9265499637327356,Pave,No,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,No,,TA,TA,Wood,Gd,TA,No,GLQ,0.22629952139924736,Unf,,-1.9681156333584382,-0.4848355255669455,GasA,Ex,Y,SBrkr,-0.6820388562949093,-0.7987154227298181,,-0.15548363386161793,1,0,1,1,1,1,TA,5,Typ,0,No,Attchd,Unf,2,-0.019788672493258275,TA,TA,Y,-2.0811453062027727,-0.6980164085195841,,1.2407224022303744,,,No,MnPrv,Shed,0.48372851965157865,10,2009,WD,Normal,11.870606902224587,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,-0.4564303845180956,-0.4545589548952934,1990,-0.3442886041905359,-0.3424458878236142,1990,-0.03309270530972856,-0.03303501362611523,1990
7,20,RL,0.2694798066776909,0.14480596679305974,Pave,No,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,-0.08209710175207896,Gd,TA,PConc,Ex,TA,Av,GLQ,0.963764876530177,Unf,,-0.4883417447856921,1.0829681646202687,GasA,Ex,Y,SBrkr,0.976415308682191,,,0.3255794334073776,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,0.6514187422772205,TA,TA,Y,0.5771832811038334,-0.09478986994131681,,,,,No,No,No,,8,2007,WD,Normal,12.634606283893019,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,-1.0054481406492326,-1.0248149621527998,2000,-0.9155729277292476,-0.9331179272570078,2000,-0.5468099549655148,-0.5630392969369303,2000
8,60,RL,0.0,0.212506366051712,Pave,No,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,Stone,0.1572632700147906,TA,TA,CBlock,Gd,TA,Mn,ALQ,0.414712246328283,BLQ,-2.114646455289556,-0.844526374325734,0.20399896149822522,GasA,Ex,Y,SBrkr,0.04205564297666515,0.6102592093425047,,0.788911336964933,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,RFn,2,0.0,TA,TA,Y,0.45912103831011847,1.120960538655757,0.6753156061741954,,,,No,No,Shed,-0.5124123474860166,11,2009,WD,Normal,12.206077645517674,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0.0,0.0,1970,0.13065327255206602,0.12838696884714862,1970,0.4476496704653079,0.43916860874604235,1970
9,50,RM,-1.1300619387536213,-1.0160326852509107,Pave,No,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,BrkFace,Wd Shng,No,,TA,TA,BrkTil,TA,TA,No,Unf,,Unf,,0.5346364947920285,-0.11108071889202704,GasA,Gd,Y,FuseF,-0.1333696506693691,-0.07359539037737382,,0.42735037091308326,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,Unf,2,-0.08015740455713598,Fa,TA,Y,-0.9239899389650157,,0.5177165388166428,,,,No,No,No,,4,2008,WD,Abnorml,11.774527900858468,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0.4638975822753873,0.45343339928266435,1930,0.6133651949295585,0.5980539733028604,1930,0.7160419334400853,0.6979011174078563,1950
10,190,RL,-1.2016750217446392,-0.5682991001132291,Pave,No,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,No,,TA,TA,BrkTil,TA,TA,No,GLQ,0.4036920578875849,Unf,,-1.2463657528161447,-0.02722182967063857,GasA,Ex,Y,SBrkr,-0.018273147777116215,,,-0.6731483269467455,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,RFn,1,-2.046036736986402,Gd,TA,Y,,-2.4549105792820956,,,,,No,No,No,,1,2008,WD,Normal,11.678448377988165,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.39789484434175404,0.38924710945606955,1930,0.5446855774289687,0.5315697167005139,1930,0.7160419334400853,0.6979011174078563,1950
11,20,RL,0.018501499801521343,0.38880506627360906,Pave,No,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,No,,TA,TA,CBlock,TA,TA,No,Rec,0.47745497369365597,Unf,,-1.2868958200185694,0.07358471054082856,GasA,Ex,Y,SBrkr,-0.09503424366244465,,,-0.7502211399245631,1,0,1,0,3,1,TA,5,Typ,0,No,Detchd,Unf,1,-0.5517415648772408,TA,TA,Y,,,,,,,No,No,No,,2,2008,WD,Normal,11.771443882099637,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0.11842694350170054,0.11634533376763115,1960,0.25388326930824784,0.24889764247527105,1960,0.5556763567944025,0.5435995546131602,1960
12,60,RL,0.725362871191378,0.5344179075228861,Pave,No,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,Stone,0.32208258318041594,Ex,TA,PConc,Ex,TA,No,GLQ,0.5913755535702905,Unf,,-1.0291772904947405,0.3285327128888348,GasA,Ex,Y,SBrkr,0.18600762417905628,0.9930945709286808,,1.0229998297546146,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,Fin,3,0.9998468322120753,TA,TA,Y,-0.21811438281248133,-1.0282446116014614,,,,,No,No,No,,7,2006,New,Partial,12.75130259456002,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,-1.0902011149063575,-1.1165484744303034,2000,-1.0037632367414218,-1.028135638761577,2000,-0.636057760810898,-0.6595210198793273,2000
13,20,RL,0.0,0.7295282549520454,Pave,No,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,No,,TA,TA,CBlock,TA,TA,No,ALQ,0.23431553854102605,Unf,,-1.0397089808450861,-0.2007328827674483,GasA,TA,Y,SBrkr,-0.38339358701388687,,,-1.0397514740632636,1,0,1,0,2,1,TA,4,Typ,0,No,Detchd,Unf,1,-0.7590883607486615,TA,TA,Y,-0.28843649337237137,,,,-0.05066302949105609,,No,No,No,,9,2008,WD,Normal,11.87757552297847,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0.1576995399705643,0.15482393049466855,1960,0.2947486483543213,0.2887538314746639,1960,0.591500032848409,0.5781377360916671,1960
14,20,RL,0.9740834749714209,0.27218847174013183,Pave,No,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,0.38564340835492783,Gd,TA,PConc,Gd,TA,Av,Unf,,Unf,,0.954305066869516,0.8303440275771025,GasA,Ex,Y,SBrkr,0.700462017091173,,,0.0485055304347029,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,1.3152656833794967,TA,TA,Y,-0.09592089854349148,-0.6090683332994713,,,,,No,No,No,,8,2007,New,Partial,12.540761149388421,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,-1.1880412433011438,-1.2240376689885206,2000,-1.1055714768953258,-1.1394731099301796,2000,-0.7416155106723266,-0.7757086024680245,2000
15,20,RL,0.0,0.3299509935515922,Pave,No,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,0.040733870777597006,TA,TA,CBlock,TA,TA,No,BLQ,0.2279070902650143,Unf,,-0.02819253662314907,0.46280408945155055,GasA,TA,Y,SBrkr,0.3141084699666544,,,-0.3394169495325986,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,RFn,1,-0.7590883607486615,TA,TA,Y,,1.162333374299751,0.2918035882101838,,,,No,GdWo,No,,5,2008,WD,Normal,11.964007453736912,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0.18259310265191164,0.1791899184424576,1960,0.32065182171814444,0.31399215884125486,1960,0.6142074422256759,0.6000085158296538,1960
16,45,RM,-1.1300619387536213,-1.0160326852509107,Pave,No,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,No,,TA,TA,BrkTil,TA,TA,No,Unf,,Unf,,0.4092007461195023,-0.3924654251797177,GasA,Ex,Y,FuseA,-0.5276475845015764,,,-1.1845912687722953,0,0,1,0,2,1,TA,5,Typ,0,No,Detchd,Unf,2,0.4150348576995464,TA,TA,Y,-1.8224419987469882,0.5474243200462929,,,,,No,GdPrv,No,,7,2007,WD,Normal,11.790564777297387,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0.4793789470548188,0.4684766174567478,1920,-0.27818885817825245,-0.2761346045528574,1990,-0.2851265124142036,-0.2884323586816461,2000
17,20,RL,0.0,0.3972992786532501,Pave,No,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,-0.11286683271147095,TA,TA,CBlock,TA,TA,No,ALQ,-0.05179538927763939,Unf,,-0.2136377648263673,0.0,GasA,Ex,Y,SBrkr,-0.17238560329038377,,,-0.8278866136313231,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,Fin,2,-0.019788672493258275,TA,TA,Y,,,,,,,No,No,Shed,0.48372851965157865,3,2010,WD,Normal,11.91170829631447,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0.04703666256109039,0.04626941819420897,1970,0.17959760568637134,0.17631290256875295,1970,0.4905555721310164,0.48069978967327254,1970
18,90,RL,0.12095136249623835,0.3023264778585752,Pave,No,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,No,,TA,TA,Slab,nan,nan,nan,nan,,nan,,,,GasA,TA,Y,SBrkr,0.38820969537341293,,,-0.2650148084306267,0,0,2,0,2,2,TA,6,Typ,0,No,CarPort,Unf,2,0.1526726640673952,TA,TA,Y,,,,,,,No,No,Shed,0.0,10,2006,WD,Normal,11.407576060361786,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0908267477697491,0.08927370956787603,1960,0.22516368970962786,0.2208568129647753,1960,0.5305000109494696,0.5193002103267276,1960
19,20,RL,-0.1953530647057879,0.856328517140097,Pave,No,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,No,,TA,TA,PConc,TA,TA,No,GLQ,0.07914210294692887,Unf,,-0.12619449322829016,0.21716653959192878,GasA,Ex,Y,SBrkr,0.05589724214949745,,,-0.5986767404565596,1,0,1,1,3,1,Gd,6,Typ,0,No,Detchd,Unf,2,0.4150348576995464,TA,TA,Y,,0.4582013213287655,,,,,No,No,No,,6,2008,WD,Normal,11.976665770490767,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,-1.0054481406492326,-1.0248149621527998,2000,-0.9155729277292476,-0.9331179272570078,2000,-0.4694999890505303,-0.4806997896732724,2000
20,20,RL,0.018501499801521343,-0.5248490212172965,Pave,No,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,No,,TA,TA,CBlock,TA,TA,No,LwQ,-0.2130373499385586,Unf,,-0.01929041852825416,0.05137399447263317,GasA,TA,Y,SBrkr,0.45989383531905287,,,-0.19303956826782967,0,0,1,0,3,1,TA,6,Min1,0,No,Attchd,Unf,1,-1.1879805231825356,TA,TA,Y,,,,,,,No,MnPrv,No,,5,2009,COD,Abnorml,11.842236406331555,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0.20654705822084554,0.20261922491794387,1950,0.34557728023101286,0.33826027011454185,1950,0.5556763567944025,0.5435995546131602,1960
21,60,RL,1.35462259336119,0.9429613117566531,Pave,No,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.5893984040005069,Gd,TA,PConc,Ex,TA,Av,Unf,,Unf,,0.7170357181819323,0.298087739412973,GasA,Ex,Y,SBrkr,0.14096063076483895,1.1576283739992437,,1.0718116186991802,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,3,1.3519190169532673,TA,TA,Y,0.48954909940419394,0.8517428108550973,,,,,No,No,No,,11,2006,New,Partial,12.692506186542177,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,-1.0902011149063575,-1.1165484744303034,2000,-1.0037632367414218,-1.028135638761577,2000,-0.636057760810898,-0.6595210198793273,2000
